tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8
457521187309240320	4/19/14 9:08	1Transportes Masivos impulsados por Andrés Uriel: Transmilenio,Mio (Cali), Pereira,Bquilla,Bmanga,Medellín, Cgena,	AlvaroUribeVel	Álvaro Uribe Vélez
457520456145571840	4/19/14 9:05	2Aeropuertos concesionados por Andrés Uriel: Bucaramanga,Cúcuta, Valledupar,Riohacha,Santa Marta	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457520042754985984	4/19/14 9:04	1Aeropuertos concesionados por Andrés Uriel:El Dorado,SanAndrés,Providencia,Med Olaya,Rionegro,Carepa,Quibdó,Montería,	AlvaroUribeVel	Álvaro Uribe Vélez
457519934093139968	4/19/14 9:03	JUANES @TODAYshow Plaza Concert LIVE. Monday, April 21, 2014
ATTEND IN PERSON: Recommended arrival time is 6:00am. http://t.co/TXmXE2mdjJ	juanes	JUANES
457519455695040512	4/19/14 9:01	Camino a la misa exequial de Andrés Uriel	AlvaroUribeVel	Álvaro Uribe Vélez
457504314630877184	4/19/14 8:01	Support my friend Eric Hilcoff raising funds this monday at the Boston Marathon! #GolfFightsCancer. #TeamGFC.
http://t.co/I6TXspHABc	CamiloVillegasR	Camilo Villegas
457493177990402048	4/19/14 7:17	Andrés Uriel era erudición, dedicación, rectitud y austeridad	AlvaroUribeVel	Álvaro Uribe Vélez
457492160569278465	4/19/14 7:13	Great story @KingmadeJerky making it happen! http://t.co/j2dELYiPVY	CamiloVillegasR	Camilo Villegas
457489936175071232	4/19/14 7:04	Play resumed... Hard to believe the golf course is not under water after 16 hours of rain. That's good news!	CamiloVillegasR	Camilo Villegas
457488404524318721	4/19/14 6:58	En nuestro gobierno tasa de homicidios bajó de 66 a 33; en gobierno Santos por falta de seguridad se estancó. http://t.co/JsVAK3aKik	AlvaroUribeVel	Álvaro Uribe Vélez
457486341199392768	4/19/14 6:50	En nuestro Gbno tasa de homicidios bajó de 66 por 100 mil habitantes a 32
Gbno Santos se ha detenido en 30, frenó reducción, falta seguridad	AlvaroUribeVel	Álvaro Uribe Vélez
457464320809791488	4/19/14 5:22	http://t.co/mrch972rzu Declaración sobre fallecimiento de Andrés Uriel	AlvaroUribeVel	Álvaro Uribe Vélez
457464146272219136	4/19/14 5:22	http://t.co/mrch972rzu	AlvaroUribeVel	Álvaro Uribe Vélez
457463099792961538	4/19/14 5:17	 En una magnífica exposición de Darío Echandía. Y le oí decir: “ Hay algo que nos define, algo que nos da carácte… http://t.co/cS7opGLXTP	AlvaroUribeVel	Álvaro Uribe Vélez
457365899822252032	4/18/14 22:51	En #Sierramarfest disfrutando con #TheMills, #Martina #AlphaBlondy América América América #SantaMarta http://t.co/4HAtft0GDg	carlosvives	Carlos Vives
457326410504622080	4/18/14 20:14	RT @TheBig_Easy: Guys I need your help. Retweet and tweet #RBCELS to help me raise money for @ElsForAutism. Help me make a difference.	CamiloVillegasR	Camilo Villegas
457310630958366720	4/18/14 19:12	RT @DiezMadieznet: @AlvaroUribeVel Por favor @MariaFdaCabal q de excusas al país Nosotros los CD llevamos su orientación q no embarre al CD	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457310041889312769	4/18/14 19:09	Andrés Uriel concibió la Ruta del Sol, autopista que pasa por Aracataca donde Gabo nutrió su inspiración.	AlvaroUribeVel	Álvaro Uribe Vélez
457299921549668352	4/18/14 18:29	En Mompox cumpliendo los deseos de la Iglesia: Que en esta Semana Santa pidamos por la paz y reconciliación http://t.co/zK0cSUsyJR	JuanManSantos	Juan Manuel Santos
457282569365909504	4/18/14 17:20	RT @PachoSantosC: No hay ministro de Transporte, antes de Obras Públicas, que pueda decir que le dejó a Colombia lo que Andres Uriel Galleg…	AlvaroUribeVel	Álvaro Uribe Vélez
457282527586443264	4/18/14 17:20	RT @PachoSantosC: Andrés Uriel entendió que ser ministro era administrar enredos, resolver entuertos, no mirar para atrás y avanzar en lo q…	AlvaroUribeVel	Álvaro Uribe Vélez
457282478815068160	4/18/14 17:20	RT @PachoSantosC: Bello-Hatillo, Montería-Sahagun, Cúcuta-Pamplona, variante Mocoa-Pasto, Sincelejo-Corozal. Obras que dejó Andres Uriel. P…	AlvaroUribeVel	Álvaro Uribe Vélez
457282438998548480	4/18/14 17:20	RT @PachoSantosC: Andres Uriel Gallego deja doble calzada Bogotá-Sogamoso y variante Cajicá-Zipaquirá. Y partes de Santa Marta-Cartagena en…	AlvaroUribeVel	Álvaro Uribe Vélez
457282396380229632	4/18/14 17:19	RT @PachoSantosC: Andrés Uriel Gallego terminó autopistas del Café, adjudicó doble calzada Buga-Buenaventura y arregló todas las concesione…	AlvaroUribeVel	Álvaro Uribe Vélez
457282359034146818	4/18/14 17:19	RT @PachoSantosC: Andrés Uriel Gallego le dejó a Colombia: doble calzada Bogotá-Ibagué, aeropuerto El Dorado, túnel de la línea y doble cal…	AlvaroUribeVel	Álvaro Uribe Vélez
457282320576569345	4/18/14 17:19	RT @PachoSantosC: Murió Andres Uriel Gallego, ministro de Transporte de nuestro gobierno. Hombre decente, honesto, serio y patriota que amó…	AlvaroUribeVel	Álvaro Uribe Vélez
457280527696146432	4/18/14 17:12	RT @PalomaValenciaL: Ha muerto Garcia Márquez pero su voz pervive en su obra eterna y luminosa	AlvaroUribeVel	Álvaro Uribe Vélez
457280301266644992	4/18/14 17:11	RT @FabianBelCor: Como se llama esto ? @diegomolanovega: "MinTIC anuncia inversiones por $32 mil millones en el Atlántico" | @sergioaraujoc…	AlvaroUribeVel	Álvaro Uribe Vélez
457278962260246528	4/18/14 17:06	RT @OIZuluaga: Estoy del lado de los trabajadores y sus familias, de los empresarios y sus proyectos, de los campesinos y sus tierras.	AlvaroUribeVel	Álvaro Uribe Vélez
457278936733720576	4/18/14 17:06	RT @OIZuluaga: Hace 25 años inicié en la política. Siento que una de las profesiones más nobles en una sociedad democrática es la que lucha…	AlvaroUribeVel	Álvaro Uribe Vélez
457278876616765440	4/18/14 17:05	RT @OIZuluaga: Todos debemos valorar el legado de Gabo, y agradecer que supo mostrarle al mundo una Colombia inteligente, creativa, humana.	AlvaroUribeVel	Álvaro Uribe Vélez
457278812091609089	4/18/14 17:05	RT @OIZuluaga: Quiero decir muy claramente que no comparto la opinión de María Fernanda Cabal sobre Gabriel García Márquez, de quien he sid…	AlvaroUribeVel	Álvaro Uribe Vélez
tweet.id	pub.date.GMT	content	author.name	author.nickname	rating.1	rating.2	rating.3	rating.4	rating.5	rating.6	rating.7	rating.8457274483623985152	4/18/14 16:48	¿Dónde está Timochenko? - Periódico Debate http://t.co/pyNidTnsAv via @debatecol	AlvaroUribeVel	Álvaro Uribe Vélez
457262273254678528	4/18/14 15:59	Ni el lenguaje ni las vías del Gbno Santos http://t.co/noHYP5tSH3	AlvaroUribeVel	Álvaro Uribe Vélez
457258060088901632	4/18/14 15:43	Nueva York..Nos vemos el Lunes en "The Today Show Plaza Concert". El acceso es gratis y deben llegar a las 6am - 48 St y Rockefeller Center.	juanes	JUANES
